Red.code;Label;FO;Wage;GRP;Retail ;Social.Policy;Small.Businesses
1000;Российская Федерация;NA;25928;376383;165051;8,89;144
1001;ЦФО;ЦФО;33467;489708,3;207394;11,49;147
31;Белгородская область;ЦФО;23735;369139,1;144992;4,82;160
32;Брянская область;ЦФО;20152;178926,9;138669;5,75;95
33;Владимирская область;ЦФО;18796;216916,6;116202;5,89;134
36;Воронежская область;ЦФО;22056;260409,5;158218;5,41;97
37;Ивановская область;ЦФО;18123;150791,8;121813;6,43;189
40;Калужская область;ЦФО;23182;291955;144553;6,94;129
44;Костромская область;ЦФО;17575;217606;104945;6,66;131
46;Курская область;ЦФО;20809;243267,5;130337;6,18;92
48;Липецкая область;ЦФО;22222;271125,4;151358;5,6;112
50;Московская область;ЦФО;32739;359799,4;191797;9,57;108
57;Орловская область;ЦФО;18262;212867,4;116988;6,27;95
62;Рязанская область;ЦФО;19828;243913,8;123656;6,14;136
67;Смоленская область;ЦФО;19982;232202,8;134889;6,51;135
68;Тамбовская область;ЦФО;19834;219948,4;139912;5,64;81
69;Тверская область;ЦФО;19106;219160,7;133177;7,31;138
71;Тульская область;ЦФО;20903;227287,4;136909;6,74;145
76;Ярославская область;ЦФО;21127;283656,6;131399;8,02;202
77;г. Москва;ЦФО;54869;965842,7;333529;21,32;200
1002;СЗФО;СЗФО;26167;406026,2;156056;9,02;239
10;Республика Карелия;СЗФО;21494;276835,1;136581;11,43;185
11;Республика Коми;СЗФО;29335;559984,3;167697;9,89;148
29;Архангельская область;СЗФО;26262;428050,6;154320;11,48;146
83;в том числе: Ненецкий автономный округ;СЗФО;66276;4003353,8;158161;29,23;119
290;Архангельская область без автономного округа;СЗФО;24775;295132,1;154177;10,83;147
35;Вологодская область;СЗФО;20513;285522,7;112774;8,92;93
39;Калининградская область;СЗФО;20642;289235,4;123113;5,79;224
47;Ленинградская область;СЗФО;20161;394189;141100;6,77;116
51;Мурманская область;СЗФО;32912;396348,8;177300;13,12;78
53;Новгородская область;СЗФО;21392;285079,1;136772;8,67;140
60;Псковская область;СЗФО;17804;173354,5;127898;9,36;122
78;г. Санкт-Петербург;СЗФО;31407;491449,5;181245;8,75;414
1003;ЮФО;ЮФО;21842;253152,3;153160;7,09;112
1;Республика Адыгея;ЮФО;18512;161676,7;151236;5,38;84
8;Республика Калмыкия;ЮФО;11311;145318,3;56382;4,99;36
23;Краснодарский край;ЮФО;25777;301436,1;170772;8,1;109
30;Астраханская область;ЮФО;19777;263511,9;147954;5,96;90
34;Волгоградская область;ЮФО;17590;235290,2;117073;6,11;109
61;Ростовская область;ЮФО;20995;217297,9;160683;7;129
1004;СКФО;СКФО;18900;142102,8;126431;5,69;55
5;Республика Дагестан;СКФО;21717;145351,7;152841;3,92;26
6;Республика Ингушетия;СКФО;13821;100910,7;36955;6,02;60
7;Кабардино-Балкарская Республика;СКФО;15297;131866,1;104645;4,29;51
9;Карачаево-Черкесская Республика;СКФО;14664;133175;73742;9,3;79
15;Республика Северная Осетия - Алания;СКФО;17788;159050,5;119453;4,01;92
20;Чеченская Республика;СКФО;17188;88462,4;77088;9,2;39
26;Ставропольский край;СКФО;19768;171295,6;153772;6,1;81
1005;ПФО;ПФО;21864;288054,8;147131;6,79;126
2;Республика Башкортостан;ПФО;23892;311655,9;177555;5,15;100
12;Республика Марий Эл;ПФО;14517;180416,2;92500;4,95;126
13;Республика Мордовия;ПФО;14433;183147,9;77284;8,38;84
16;Республика Татарстан;ПФО;26161;403941,9;186147;5,3;129
18;Удмуртская Республика;ПФО;18660;266799,4;116969;5,43;134
21;Чувашская Республика;ПФО;15264;180757,3;96535;5,89;118
59;Пермский край;ПФО;26054;339015,3;172008;8;134
43;Кировская область;ПФО;18012;170894,3;113482;6,56;168
52;Нижегородская область;ПФО;24503;281779,2;164303;8,19;118
56;Оренбургская область;ПФО;18628;352588,8;119649;7,37;94
58;Пензенская область;ПФО;17815;198482,9;118598;6,4;128
63;Самарская область;ПФО;26865;323983,9;173881;8,65;166
64;Саратовская область;ПФО;16035;211476,6;106880;7,01;123
73;Ульяновская область;ПФО;18580;204827,5;116681;7,35;135
1006;УФО;УФО;28994;626119,2;188497;9,89;157
45;Курганская область;УФО;17583;187361,2;107661;8,01;85
66;Свердловская область;УФО;31013;367331,1;220916;7,93;189
72;Тюменская область;УФО;36399;1422113,3;211812;16,88;180
86;Ханты-Мансийский автономный округ - Югра;УФО;39292;1753776,9;214602;16;145
89;Ямало-Ненецкий автономный округ;УФО;58040;2540488,6;221694;31,07;123
720;Тюменская область без автономных округов;УФО;24731;611786,1;204811;12,35;241
74;Челябинская область;УФО;21888;252109,8;145198;5,76;111
1007;СФО;СФО;20454;287026,9;132484;7,94;150
4;Республика Алтай;СФО;14752;156828;83988;7,44;107
3;Республика Бурятия;СФО;20785;182653,8;134060;7,4;113
17;Республика Тыва;СФО;13472;134193,8;54096;9,67;50
19;Республика Хакасия;СФО;17876;269016,3;113937;6,21;120
22;Алтайский край;СФО;15979;171556,2;118096;6,36;149
75;Забайкальский край;СФО;19886;210277,3;116140;7,43;51
24;Красноярский край;СФО;24922;440993,8;162148;11,39;184
38;Иркутская область;СФО;19425;329142,7;110126;7,61;120
42;Кемеровская область;СФО;19697;244064,2;125935;6,86;123
54;Новосибирская область;СФО;22597;301955,7;159368;8,15;230
55;Омская область;СФО;21364;280274,8;149230;7,39;148
70;Томская область;СФО;20430;377203;110583;7,85;194
1008;ДФО;ДФО;28929;450126,2;147891;12,25;154
14;Республика Саха (Якутия);ДФО;31528;595830,2;149556;18,26;144
41;Камчатский край;ДФО;35371;410861,2;132314;19;161
25;Приморский край;ДФО;24343;296267,8;128066;7,82;161
27;Хабаровский край;ДФО;29382;353241,1;156908;10,95;171
28;Амурская область;ДФО;24671;259460,1;145301;12,5;110
49;Магаданская область;ДФО;42463;584729,7;153398;13,96;199
65;Сахалинская область;ДФО;39971;1369003,1;228920;15,08;184
79;Еврейская автономная область;ДФО;20417;220875;108408;9,73;103
87;Чукотский автономный округ;ДФО;52695;927403,5;108218;32,37;92
